Species,Count,Region_name,Year,Top10,Rank
House_sparrow,"1,211,260",UK,2025,1,1
Blue_tit,"946,698",UK,2025,1,2
Woodpigeon,"859,780",UK,2025,1,3
Starling,"784,741",UK,2025,1,4
Blackbird,"732,472",UK,2025,1,5
Robin,"518,312",UK,2025,1,6
Great_tit,"484,606",UK,2025,1,7
Goldfinch,"465,766",UK,2025,1,8
Magpie,"449,674",UK,2025,1,9
Long_tailed_tit,"379,285",UK,2025,1,10
House_sparrow,"969,848",England,2025,1,1
Blue_tit,"824,518",England,2025,1,2
Woodpigeon,"778,936",England,2025,1,3
Starling,"647,629",England,2025,1,4
Blackbird,"618,824",England,2025,1,5
Robin,"442,334",England,2025,1,6
Great_tit,"421,612",England,2025,1,7
Goldfinch,"392,131",England,2025,1,8
Magpie,"392,113",England,2025,1,9
Long_tailed_tit,"332,207",England,2025,1,10
House_sparrow,"125,035",Scotland,2025,1,1
Starling,"72,898",Scotland,2025,1,2
Blackbird,"62,069",Scotland,2025,1,3
Chaffin,"57,172",Scotland,2025,1,4
Blue_tit,"55,713",Scotland,2025,1,5
Woodpigeon,"51,275",Scotland,2025,1,6
Goldfinch,"39,621",Scotland,2025,1,7
Robin,"38,930",Scotland,2025,1,8
Great_tit,"28,751",Scotland,2025,1,9
Feral_Pigeon,"24,118",Scotland,2025,1,10
House_sparrow,"89,598",Wales,2025,1,1
Blue_tit,"53,231",Wales,2025,1,2
Starling,"42,331",Wales,2025,1,3
Blackbird,"37,581",Wales,2025,1,4
Robin,"26,965",Wales,2025,1,5
Great_tit,"25,411",Wales,2025,1,6
Chaffin,"25,373",Wales,2025,1,7
Long_tailed_tit,"23,941",Wales,2025,1,8
Woodpigeon,"23,363",Wales,2025,1,9
Magpie,"22,182",Wales,2025,1,10
House_sparrow,"26,779",N Ireland,2025,1,1
Starling,"21,883",N Ireland,2025,1,2
Blackbird,"13,998",N Ireland,2025,1,3
Blue_tit,"13,236",N Ireland,2025,1,4
Goldfinch,"11,858",N Ireland,2025,1,5
Chaffin,"11,787",N Ireland,2025,1,6
Robin,"10,083",N Ireland,2025,1,7
Great_tit,"8,832",N Ireland,2025,1,8
Magpie,"8,241",N Ireland,2025,1,9
Coal_tit,"6,837",N Ireland,2025,1,10
House_sparrow,"1,442,300",UK,2024,1,1
Blue_tit,"1,094,401",UK,2024,1,2
Starling,"879,006",UK,2024,1,3
Woodpigeon,"835,408",UK,2024,1,4
Blackbird,"708,004",UK,2024,1,5
Robin,"539,820",UK,2024,1,6
Great_tit,"523,638",UK,2024,1,7
Goldfinch,"478,740",UK,2024,1,8
Magpie,"446,678",UK,2024,1,9
Long_tailed_tit,"383,166",UK,2024,1,10
House_sparrow,"1,166,927",England,2024,1,1
Blue_tit,"936,068",England,2024,1,2
Woodpigeon,"757,445",England,2024,1,3
Starling,"728,133",England,2024,1,4
Blackbird,"604,810",England,2024,1,5
Robin,"462,916",England,2024,1,6
Great_tit,"442,615",England,2024,1,7
Goldfinch,"408,150",England,2024,1,8
Magpie,"386,268",England,2024,1,9
Long_tailed_tit,"328,216",England,2024,1,10
House_sparrow,"137,966",Scotland,2024,1,1
Starling,"76,473",Scotland,2024,1,2
Blue_tit,"76,450",Scotland,2024,1,3
Chaffin,"62,082",Scotland,2024,1,4
Blackbird,"57,088",Scotland,2024,1,5
wod,"48,740",Scotland,2024,1,6
Great_tit,"39,294",Scotland,2024,1,7
Robin,"39,096",Scotland,2024,1,8
Goldfinch,"34,389",Scotland,2024,1,9
Coal_tit,"33,517",Scotland,2024,1,10
House_sparrow,"109,053",Wales,2024,1,1
Blue_tit,"67,096",Wales,2024,1,2
Starling,"50,618",Wales,2024,1,3
Blackbird,"34,219",Wales,2024,1,4
Great_tit,"30,748",Wales,2024,1,5
Robin,"28,291",Wales,2024,1,6
Chaffin,"25,560",Wales,2024,1,7
Long_tailed_tit,"25,103",Wales,2024,1,8
Goldfinch,"24,496",Wales,2024,1,9
Woodpigeon,"23,488",Wales,2024,1,10
House_sparrow,"28,354",N Ireland,2024,1,1
Starling,"23,782",N Ireland,2024,1,2
Blue_tit,"14,787",N Ireland,2024,1,3
Chaffin,"12,802",N Ireland,2024,1,4
Blackbird,"11,887",N Ireland,2024,1,5
Goldfinch,"11,705",N Ireland,2024,1,6
Great_tit,"10,981",N Ireland,2024,1,7
Robin,"9,517",N Ireland,2024,1,8
Magpie,"8,241",N Ireland,2024,1,9
Coal_tit,"7,535",N Ireland,2024,1,10
House_sparrow,"1,401,338",UK,2023,1,1
Blue_tit,"904,637",UK,2023,1,2
Starling,"904,079",UK,2023,1,3
Woodpigeon,"750,251",UK,2023,1,4
Blackbird,"716,734",UK,2023,1,5
Robin,"498,612",UK,2023,1,6
Goldfinch,"491,934",UK,2023,1,7
Great_tit,"452,750",UK,2023,1,8
Magpie,"393,725",UK,2023,1,9
Long_tailed_tit,"339,793",UK,2023,1,10
House_sparrow,"1,155,225",England,2023,1,1
Blue_tit,"789,368",England,2023,1,2
Starling,"764,792",England,2023,1,3
Woodpigeon,"686,629",England,2023,1,4
Blackbird,"620,782",England,2023,1,5
Robin,"431,418",England,2023,1,6
Goldfinch,"422,278",England,2023,1,7
Great_tit,"395,128",England,2023,1,8
Magpie,"344,459",England,2023,1,9
Long_tailed_tit,"295,777",England,2023,1,10
House_sparrow,"116,678",Scotland,2023,1,1
Starling,"64,800",Scotland,2023,1,2
Chaffin,"55,439",Scotland,2023,1,3
Blue_tit,"53,676",Scotland,2023,1,4
Blackbird,"51,460",Scotland,2023,1,5
Woodpigeon,"38,501",Scotland,2023,1,6
Goldfinch,"35,736",Scotland,2023,1,7
Robin,"32,932",Scotland,2023,1,8
Great_tit,"26,766",Scotland,2023,1,9
Magpie,"22,835",Scotland,2023,1,10
House_sparrow,"104,787",Wales,2023,1,1
Starling,"55,019",Wales,2023,1,2
Blue_tit,"51,131",Wales,2023,1,3
Blackbird,"34,122",Wales,2023,1,4
Robin,"26,194",Wales,2023,1,5
Chaffin,"24,703",Wales,2023,1,6
Goldfinch,"23,576",Wales,2023,1,7
Great_tit,"23,446",Wales,2023,1,8
Long_tailed_tit,"22,616",Wales,2023,1,9
Woodpigeon,"20,424",Wales,2023,1,10
House_sparrow,"24,648",N Ireland,2023,1,1
Starling,"19,468",N Ireland,2023,1,2
Blue_tit,"10,462",N Ireland,2023,1,3
Blackbird,"10,370",N Ireland,2023,1,4
Goldfinch,"10,344",N Ireland,2023,1,5
Chaffin,"9,745",N Ireland,2023,1,6
Robin,"8,068",N Ireland,2023,1,7
Great_tit,"7,410",N Ireland,2023,1,8
Magpie,"6,531",N Ireland,2023,1,9
Collared_dove,"5,293",N Ireland,2023,1,10
House_sparrow,"1,778,764",UK,2022,1,1
Blue_tit,"1,178,156",UK,2022,1,2
Starling,"1,162,553",UK,2022,1,3
Woodpigeon,"1,041,709",UK,2022,1,4
Blackbird,"958,917",UK,2022,1,5
Robin,"622,493",UK,2022,1,6
Goldfinch,"591,129",UK,2022,1,7
Great_tit,"587,024",UK,2022,1,8
Magpie,"527,125",UK,2022,1,9
Chaffin,"402,236",UK,2022,1,10
House_sparrow,"1,458,496",England,2022,1,1
Blue_tit,"1,013,416",England,2022,1,2
Starling,"977,965",England,2022,1,3
Woodpigeon,"950,725",England,2022,1,4
Blackbird,"835,327",England,2022,1,5
Robin,"538,919",England,2022,1,6
Goldfinch,"506,294",England,2022,1,7
Great_tit,"498,464",England,2022,1,8
Magpie,"459,600",England,2022,1,9
Collared_dove,"309,893",England,2022,1,10
House_sparrow,"145,665",Scotland,2022,1,1
Starling,"82,586",Scotland,2022,1,2
Blue_tit,"73,507",Scotland,2022,1,3
Chaffin,"68,821",Scotland,2022,1,4
Blackbird,"60,768",Scotland,2022,1,5
Woodpigeon,"54,887",Scotland,2022,1,6
Great_tit,"39,748",Scotland,2022,1,7
Goldfinch,"39,597",Scotland,2022,1,8
Robin,"38,088",Scotland,2022,1,9
Coal_tit,"30,198",Scotland,2022,1,10
House_sparrow,"141,850",Wales,2022,1,1
Starling,"76,908",Wales,2022,1,2
Blue_tit,"75,265",Wales,2022,1,3
Blackbird,"48,771",Wales,2022,1,4
Great_tit,"37,051",Wales,2022,1,5
Chaffin,"36,341",Wales,2022,1,6
Robin,"34,841",Wales,2022,1,7
Goldfinch,"31,710",Wales,2022,1,8
Magpie,"29,504",Wales,2022,1,9
Woodpigeon,"29,120",Wales,2022,1,10
House_sparrow,"32,753",N Ireland,2022,1,1
Starling,"25,094",N Ireland,2022,1,2
Blue_tit,"15,968",N Ireland,2022,1,3
Chaffin,"14,698",N Ireland,2022,1,4
Blackbird,"14,051",N Ireland,2022,1,5
Goldfinch,"13,528",N Ireland,2022,1,6
Great_tit,"11,761",N Ireland,2022,1,7
Robin,"10,645",N Ireland,2022,1,8
Magpie,"9,400",N Ireland,2022,1,9
Coal_tit,"7,719",N Ireland,2022,1,10
